user,date,content,replyCount,retweetCount,likeCount
TonyRobbins,[  16    4 2021],The Power of Joy. Check out this video of one of the most gorgeous magic moments we’ve ever witnessed at DWD. https://t.co/ONq154lqm9,23,30,213
TonyRobbins,[  16    4 2021],"Congratulations to my dear friend @williamgreen72 on the launch of his brilliant new book, RICHER, WISER, HAPPIER! If you want to achieve total financial independence and build a truly abundant life, check out this book! 
Get your copy today at https://t.co/kFzJTnCO4c",25,43,243
TonyRobbins,[  16    4 2021],"Join @elonmusk &amp; @peterdiamandis launching the $100M XPRIZE Gigaton CARBON Removal. Listen, ask questions, start a team. RSVP at https://t.co/Nfe8kIRAzD.",13,60,278
TonyRobbins,[  16    4 2021],https://t.co/vEXjeVlzQE,21,179,727
TonyRobbins,[  16    4 2021],"Business owners + entrepreneurs - ready to unlock your next level? Sign up for a FREE 4-hour Ultimate Success Secrets Workshop with our top national trainer KK, Dan Caldwell, @JesseItzler, Lisa Nichols and MORE! We’re only doing this once. Don’t miss this! https://t.co/fgz6MEFfuV https://t.co/Bt4obPXrF5",6,16,71
TonyRobbins,[  15    4 2021],This Daily Habit Will Prime Your Brain To Be Its Best  https://t.co/rBc19pjSID,28,50,318
TonyRobbins,[  14    4 2021],"The quality of your life is the quality of your habitual emotions – your ""emotional home."" And if you want to live an extraordinary life, the decision to live in a beautiful state is the most important decision that you can ever make. https://t.co/eHbEqb1ht8",39,151,704
TonyRobbins,[  14    4 2021],"What an honor to be back on the cover of @SUCCESSMagazine! Pick up a copy at https://t.co/0G8leqqZWx, and read the story here: https://t.co/eu4pZOGj4L",23,34,307
TonyRobbins,[  13    4 2021],"As a #businessowner or #entrepreneur you have an opportunity to do more for others than anybody else in whatever area or industry you’re in. When you focus on GIVING and SERVING, you will experience a deeper fulfillment than ever imagined. https://t.co/ThxZVcJuNI",40,103,485
TonyRobbins,[  13    4 2021],"Leadership isn’t a position or title — it’s not something you’re born with or not. It’s a SKILL. 

Leadership qualities are like muscles that need to be strengthened. True leaders see challenges as opportunities to STEP UP. To CREATE, LEARN, BECOME, LOVE, CONTRIBUTE &amp; SERVE more. https://t.co/iblUEwvVka",31,113,576
TonyRobbins,[  11    3 2021],"Our first #BusinessMastery Virtual of 2021 is officially underway! We’re back in our brand new studio sharing five FULL days and nights with 3,000 business owners and entrepreneurs from 74 countries tuned in and cranking the energy from home! ⚡️ 

Who’s here with us this week? https://t.co/ign1IT0e9k",76,68,616
TonyRobbins,[  11    3 2021],https://t.co/bvNChId7ED,41,240,1088
TonyRobbins,[  11    3 2021],"Congratulations to my dear friend @DrGundry on the launch of his new book, The Energy Paradox! 
Just got our copy and can't wait to dig in. Get yours here https://t.co/IWNQIVQl1A. #EnergyParadox",12,21,156
TonyRobbins,[  11    3 2021],"UPW: 4 DAYS IN 6 MINS | Here’s a peek inside the zoom room from last week — the largest Unleash the Power Within seminar in our 40+ year history!

With upwards of 70,000 joining in from 136 countries, this was certainly one to remember! 🙌❤️💥🤟https://t.co/wE4CLdgziE",21,35,152
TonyRobbins,[  10    3 2021],An unforgettable performance by the talented @Kodileerocks! https://t.co/4A5c7AsmCc,9,18,133
TonyRobbins,[   9    3 2021],Disappointment is a powerful FUEL that can drive us to the next level. 🔥 ⛽️ 📈 #unleashthepowerwithin https://t.co/Bwnc5hfiRt,57,213,967
TonyRobbins,[   9    3 2021],"Right now we’re streaming into 30,000 homes — we have officially kicked off our largest #UnleashThePowerWithin in HISTORY! 🔥

It’s so beautiful to feel the UNITY, TOGETHERNESS, LOVE, and CONNECTION we have created here, right when the world needs it most! ❤️ #tonyrobbinsupw https://t.co/meYTBTR8Xk",46,67,513
TonyRobbins,[   8    2 2021],NEW #PODCAST: A Ringside Conversation w/ Boxing Legend @holyfield Watch it here - https://t.co/1IN4Kn9PNw,12,21,134
TonyRobbins,[   7    2 2021],Please take a moment to read:The Buffett Indicator at All-Time Highs: Is This Cause for Concern? https://t.co/MjBYF8uyRr,108,83,328
TonyRobbins,[   6    2 2021],"THE QUALITY OF OUR LIFE IS THE QUALITY OF OUR RELATIONSHIPS.

In our relationships, we are given the opportunity to wake up to a deeper truth. When we shift our FOCUS to what we are here TO GIVE &amp; TO BECOME for the ones we love  — the whole game changes. https://t.co/4SDoPCVPgI",49,145,633
TonyRobbins,[   6    2 2021],The secret to an extraordinary life is to demand more from yourself than anyone else could possibly expect. RAISE YOUR STANDARDS.,88,735,2832
